T,P,ρ(l),V,U,H,S,Cv,Cp,a,µJT,µ,k,σ,MW,R,T,P,ρ(g),V,U,H,S,Cv,Cp,gam,a,µJT,µ,k
°F,kPa,kg/m^3,m^3/kg,kj/kg,kJ/kg,J/g*K,J/g*K,J/g*K,m/s,K/Mpa,cP,W/m*K,N/m,44.013,188.9100947,°F,kPa,kg/m^3,m^3/kg,kj/kg,kJ/kg,J/g*K,J/g*K,J/g*K,,m/s,K/Mpa,cP,W/m*K
-131,89.277,1236.6,0.00080868,-3.6683,-3.5962,-0.01953,0.96061,1.7179,1147.9,-0.26682,0.31926,0.20652,0.02423,,,-131,89.277,2.6513,0.37718,339.36,373.03,2.0431,0.58107,0.79605,1.369972637,212.03,44.408,0.0090832,0.0087653
-130,92.363,1235,0.00080975,-2.7151,-2.6403,-0.014316,0.95983,1.7182,1144.3,-0.26593,0.316,0.20582,0.024102,,,-130,92.363,2.7363,0.36546,339.61,373.36,2.0387,0.58247,0.79813,1.370250828,212.23,44.029,0.0091132,0.0088033
-129,95.533,1233.3,0.00081082,-1.7617,-1.6842,-0.0091182,0.95906,1.7185,1140.7,-0.26503,0.3128,0.20513,0.023974,,,-129,95.533,2.8234,0.35418,339.86,373.7,2.0343,0.58387,0.80022,1.370544813,212.44,43.654,0.0091432,0.0088414
-128,98.789,1231.7,0.00081189,-0.80817,-0.72796,-0.003935,0.9583,1.7188,1137.1,-0.26412,0.30965,0.20444,0.023847,,,-128,98.789,2.9126,0.34333,340.11,374.03,2.0299,0.58529,0.80234,1.370841805,212.64,43.282,0.0091733,0.0088797
-127,102.13,1230.1,0.00081297,0.1455,0.22853,0.0012334,0.95755,1.7191,1133.6,-0.26319,0.30655,0.20375,0.02372,,,-127,102.13,3.0041,0.33288,340.36,374.36,2.0256,0.58672,0.80449,1.371165121,212.84,42.913,0.0092034,0.008918
-126,105.56,1228.4,0.00081405,1.0993,1.1852,0.0063871,0.9568,1.7195,1130,-0.26224,0.3035,0.20306,0.023593,,,-126,105.56,3.0977,0.32282,340.61,374.69,2.0213,0.58815,0.80665,1.371503868,213.04,42.549,0.0092336,0.0089566
-125,109.08,1226.8,0.00081514,2.0533,2.1422,0.011526,0.95607,1.7199,1126.4,-0.26128,0.30049,0.20237,0.023466,,,-125,109.08,3.1936,0.31312,340.86,375.02,2.017,0.58959,0.80884,1.371868587,213.24,42.187,0.0092638,0.0089952
-124,112.7,1225.1,0.00081623,3.0074,3.0994,0.016651,0.95534,1.7203,1122.8,-0.2603,0.29753,0.20169,0.023339,,,-124,112.7,3.2919,0.30378,341.11,375.34,2.0128,0.59105,0.81105,1.372218932,213.43,41.83,0.009294,0.009034
-123,116.41,1223.5,0.00081733,3.9618,4.0569,0.021762,0.95462,1.7207,1119.3,-0.25931,0.29462,0.201,0.023212,,,-123,116.41,3.3924,0.29478,341.36,375.67,2.0086,0.59251,0.81328,1.372601306,213.63,41.475,0.0093243,0.0090729
-122,120.21,1221.9,0.00081843,4.9163,5.0147,0.026858,0.95391,1.7212,1115.7,-0.25831,0.29175,0.20031,0.023085,,,-122,120.21,3.4953,0.2861,341.6,375.99,2.0044,0.59398,0.81553,1.372992357,213.82,41.124,0.0093546,0.009112
-121,124.11,1220.2,0.00081954,5.8711,5.9728,0.031941,0.9532,1.7216,1112.1,-0.25729,0.28892,0.19963,0.022958,,,-121,124.11,3.6006,0.27773,341.85,376.32,2.0003,0.59546,0.8178,1.373391999,214,40.777,0.009385,0.0091512
-120,128.11,1218.6,0.00082065,6.826,6.9311,0.03701,0.9525,1.7221,1108.5,-0.25625,0.28614,0.19894,0.022832,,,-120,128.11,3.7083,0.26966,342.09,376.64,1.9962,0.59694,0.8201,1.373839917,214.19,40.433,0.0094154,0.0091905
-119,132.21,1216.9,0.00082176,7.7812,7.8898,0.042065,0.95181,1.7227,1105,-0.25519,0.2834,0.19826,0.022706,,,-119,132.21,3.8185,0.26188,342.34,376.96,1.9921,0.59844,0.82242,1.37427311,214.37,40.092,0.0094459,0.00923
-118,136.41,1215.2,0.00082288,8.7366,8.8489,0.047106,0.95113,1.7232,1101.4,-0.25412,0.2807,0.19757,0.022579,,,-118,136.41,3.9313,0.25437,342.58,377.28,1.9881,0.59994,0.82476,1.374737474,214.56,39.755,0.0094764,0.0092696
-117,140.71,1213.6,0.00082401,9.6923,9.8082,0.052135,0.95045,1.7238,1097.9,-0.25304,0.27804,0.19689,0.022453,,,-117,140.71,4.0466,0.24712,342.83,377.6,1.9841,0.60145,0.82712,1.375209909,214.73,39.421,0.009507,0.0093093
-116,145.12,1211.9,0.00082514,10.648,10.768,0.057149,0.94978,1.7243,1094.3,-0.25194,0.27543,0.19621,0.022327,,,-116,145.12,4.1645,0.24012,343.07,377.92,1.9801,0.60297,0.82951,1.375706917,214.91,39.091,0.0095376,0.0093492
-115,149.64,1210.3,0.00082627,11.604,11.728,0.062151,0.94912,1.725,1090.7,-0.25082,0.27284,0.19553,0.022201,,,-115,149.64,4.285,0.23337,343.31,378.23,1.9762,0.60449,0.83192,1.376234512,215.09,38.763,0.0095683,0.0093892
-114,154.27,1208.6,0.00082741,12.561,12.689,0.06714,0.94847,1.7256,1087.2,-0.24968,0.2703,0.19484,0.022076,,,-114,154.27,4.4083,0.22685,343.55,378.54,1.9723,0.60603,0.83435,1.376747026,215.26,38.44,0.009599,0.0094294
-113,159.01,1206.9,0.00082856,13.518,13.649,0.072116,0.94782,1.7262,1083.6,-0.24853,0.2678,0.19416,0.02195,,,-113,159.01,4.5342,0.22055,343.79,378.86,1.9684,0.60757,0.8368,1.37728986,215.43,38.119,0.0096298,0.0094697
-112,163.86,1205.2,0.00082971,14.475,14.611,0.077079,0.94718,1.7269,1080.1,-0.24736,0.26533,0.19348,0.021825,,,-112,163.86,4.6629,0.21446,344.03,379.17,1.9645,0.60912,0.83928,1.37785658,215.6,37.801,0.0096606,0.0095102
-111,168.83,1203.6,0.00083086,15.432,15.572,0.08203,0.94655,1.7276,1076.5,-0.24617,0.2629,0.1928,0.021699,,,-111,168.83,4.7944,0.20858,344.27,379.48,1.9607,0.61068,0.84177,1.378414227,215.76,37.487,0.0096914,0.0095508
-110,173.91,1201.9,0.00083202,16.39,16.535,0.086968,0.94592,1.7283,1073,-0.24497,0.2605,0.19213,0.021574,,,-110,173.91,4.9288,0.20289,344.5,379.79,1.9569,0.61224,0.8443,1.379034366,215.93,37.176,0.0097224,0.0095915
